vendor_id,vendor_name,vendor_category,vendor_country,vendor_payment_term,vendor_risk_rating,historical_early_payment_rate
V00411,"Franco, Smith and Steele",Facilities,Germany,60,Low,0.0886
V00412,Jordan-Lee,Professional Services,Germany,45,Low,0.1853
V00413,Cortez Group,Logistics,India,30,Low,0.3134
V00414,Bailey PLC,Logistics,Mexico,60,Medium,0.2969
V00415,Wyatt Ltd,Professional Services,India,60,Low,0.1296
V00416,Pena-Miller,IT Services,USA,45,Medium,0.1749
V00417,"Medina, Lewis and Goodwin",Logistics,India,60,Medium,0.3359
V00418,Nelson-Everett,Packaging,Indonesia,90,Medium,0.2003
V00419,Miles Ltd,Professional Services,USA,30,Low,0.1282
V00420,Martin-Bell,Raw Materials,Mexico,45,High,0.1473
